2026-03-15 18:47:23.277 | INFO     | __main__:detect_regime:137 - Regime inputs | Nifty=23151.1 | SMA50=25384.2 | SMA200=25317.2 | VIX=22.6 | Slope=-9.11%
2026-03-15 18:47:23.281 | INFO     | __main__:_regime_result:208 - Regime detected: BEAR | Nifty below SMA-200
2026-03-15 18:47:23.298 | INFO     | __main__:save_regime:237 - Regime saved: BEAR
2026-03-15 18:51:27.230 | INFO     | __main__:detect_regime:137 - Regime inputs | Nifty=23151.1 | SMA50=25384.2 | SMA200=25317.2 | VIX=22.6 | Slope=-9.11%
2026-03-15 18:51:27.230 | INFO     | __main__:_regime_result:208 - Regime detected: BEAR | Nifty below SMA-200
2026-03-15 18:51:27.246 | INFO     | __main__:save_regime:237 - Regime saved: BEAR
2026-03-15 18:52:03.970 | INFO     | __main__:run_scoring:369 - Scoring 28 stocks | regime=BEAR | date=2026-03-15
2026-03-15 18:52:03.984 | INFO     | __main__:run_scoring:395 -       RELIANCE | score= 35.2 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.016 | INFO     | __main__:run_scoring:395 -       HDFCBANK | score=  9.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.032 | INFO     | __main__:run_scoring:395 -           INFY | score= 16.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.048 | INFO     | __main__:run_scoring:395 -            TCS | score=  6.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.064 | INFO     | __main__:run_scoring:395 -      ICICIBANK | score= 12.8 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.096 | INFO     | __main__:run_scoring:395 -      KOTAKBANK | score= 10.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.111 | INFO     | __main__:run_scoring:395 -       AXISBANK | score= 25.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.128 | INFO     | __main__:run_scoring:395 -     HINDUNILVR | score= 20.2 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.144 | INFO     | __main__:run_scoring:395 -             MM | score= 20.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.159 | INFO     | __main__:run_scoring:395 -     BAJFINANCE | score= 17.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.175 | INFO     | __main__:run_scoring:395 -     ADANIPORTS | score= 28.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.208 | INFO     | __main__:run_scoring:395 -      SUNPHARMA | score= 80.0 | signal=   BUY | gates=✅
2026-03-15 18:52:04.223 | INFO     | __main__:run_scoring:395 -         MARUTI | score= 20.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.239 | INFO     | __main__:run_scoring:395 -          WIPRO | score= 27.8 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.254 | INFO     | __main__:run_scoring:395 -        HCLTECH | score= 22.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.270 | INFO     | __main__:run_scoring:395 -             LT | score= 28.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.286 | INFO     | __main__:run_scoring:395 -     PERSISTENT | score= 26.2 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.318 | INFO     | __main__:run_scoring:395 -          TRENT | score= 10.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.334 | INFO     | __main__:run_scoring:395 -         VOLTAS | score= 31.0 | signal=IGNORE | gates=✅
2026-03-15 18:52:04.350 | INFO     | __main__:run_scoring:395 -      ABCAPITAL | score= 15.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.366 | INFO     | __main__:run_scoring:395 -     SUNDARMFIN | score= 29.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.382 | INFO     | __main__:run_scoring:395 -     LAURUSLABS | score= 44.0 | signal=IGNORE | gates=✅
2026-03-15 18:52:04.398 | INFO     | __main__:run_scoring:395 -      NESTLEIND | score= 18.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.430 | INFO     | __main__:run_scoring:395 -      BRITANNIA | score= 38.5 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.446 | INFO     | __main__:run_scoring:395 -        DRREDDY | score= 54.0 | signal=IGNORE | gates=✅
2026-03-15 18:52:04.462 | INFO     | __main__:run_scoring:395 -          CIPLA | score= 30.0 | signal=IGNORE | gates=❌
2026-03-15 18:52:04.478 | INFO     | __main__:run_scoring:395 -      POWERGRID | score= 63.8 | signal= WATCH | gates=✅
2026-03-15 18:52:04.494 | INFO     | __main__:run_scoring:395 -           NTPC | score= 71.0 | signal=   BUY | gates=✅
2026-03-15 18:52:04.509 | INFO     | __main__:run_scoring:404 - Scoring complete. BUY signals: 2
